candidate_id	name	category	target_slot	replacement_for	status	authority
CAND-P-001	Emissivity-CalNet	PREDICTIVE	ICM-031	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-002	Thermal-RestoreNet	PREDICTIVE	ICM-032	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-003	Thermal-UniformitySegNet	PREDICTIVE	ICM-033	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-004	ThermalField-ForecastNet	PREDICTIVE	ICM-034	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-005	Pixel-DriftMapNet	PREDICTIVE	ICM-035	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-006	Thermal-FOVHealthNet	PREDICTIVE	ICM-036	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-007	Insulation-LeakSegNet	PREDICTIVE	ICM-037	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-008	HeatFlux-InverseNet	PREDICTIVE	ICM-038	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-009	Heater-CouplingMapNet	PREDICTIVE	ICM-039	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-010	Hotspot-TrajectoryNet	PREDICTIVE	ICM-040	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-011	RGB-T-RegistrationNet	PREDICTIVE	ICM-041	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-012	Fill-RatioNet	PREDICTIVE	ICM-042	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-013	Powder-UniformityNet	PREDICTIVE	ICM-043	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-014	Contamination-SpotSegNet	PREDICTIVE	ICM-044	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-015	Surface-CrustCrackNet	PREDICTIVE	ICM-045	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-016	Fume-PlumeSegNet	PREDICTIVE	ICM-046	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-017	Camera-OpticsHealthNet	PREDICTIVE	ICM-047	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-018	Crucible-RimIntegrityNet	PREDICTIVE	ICM-048	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-019	Macroscopic-SurfaceQualityNet	PREDICTIVE	ICM-049	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-020	Thermal-TargetAuthenticityNet	PREDICTIVE	ICM-050	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-021	DoorSeal-LeakNet	PREDICTIVE	ICM-051	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-022	Crucible-WarpNet	PREDICTIVE	ICM-052	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-023	TC-ContactPlacementNet	PREDICTIVE	ICM-053	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-024	MAX56-BiasCompNet	PREDICTIVE	ICM-054	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-025	SHT-CondensationStateNet	PREDICTIVE	ICM-055	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-026	MQ-THCompNet	PREDICTIVE	ICM-056	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-027	MQ-ReadinessNet	PREDICTIVE	ICM-057	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-028	ADXL-SignalQualityNet	PREDICTIVE	ICM-058	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-029	INA-TempDriftCompNet	PREDICTIVE	ICM-059	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-030	PowerRail-EventNet	PREDICTIVE	ICM-060	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-031	PTC-ThermalEfficiencyNet	PREDICTIVE	ICM-061	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-032	PTC-DegradationNet	PREDICTIVE	ICM-062	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-033	Relay-ContactHealthNet	PREDICTIVE	ICM-063	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-034	MOSFET-ConductionHealthNet	PREDICTIVE	ICM-064	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-035	Fan-EfficiencyNet	PREDICTIVE	ICM-065	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-036	Fan-BearingFaultNet	PREDICTIVE	ICM-066	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-037	Fan-BlockageNet	PREDICTIVE	ICM-067	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-038	Tach-DenoiseNet	PREDICTIVE	ICM-068	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-039	Motor-MechanicalFaultNet	PREDICTIVE	ICM-069	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-040	Motor-LoadDragNet	PREDICTIVE	ICM-070	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-041	RTC-DriftTempNet	PREDICTIVE	ICM-071	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-042	SinterGraph-PSP	PREDICTIVE	ICM-072	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-043	Precursor-CompatibilityNet	PREDICTIVE	ICM-073	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-044	SynthesizabilityNet	PREDICTIVE	ICM-074	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-045	Garnet-CompetingPhaseRankNet	PREDICTIVE	ICM-075	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-046	Reaction-PathRankNet	PREDICTIVE	ICM-076	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-047	Reaction-OnsetNet	PREDICTIVE	ICM-077	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-048	Phase-CompletionNet	PREDICTIVE	ICM-078	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-049	DensificationNet	PREDICTIVE	ICM-079	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-050	Sintering-ShrinkageNet	PREDICTIVE	ICM-080	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-051	Grain-GrowthNet	PREDICTIVE	ICM-081	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-052	Agglomeration-RiskNet	PREDICTIVE	ICM-082	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-053	Cr-ValenceRetentionNet	PREDICTIVE	ICM-083	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-054	Oxygen-VacancyConditionNet	PREDICTIVE	ICM-084	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-055	Dopant-ActivationNet	PREDICTIVE	ICM-085	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-056	Site-OccupancyRankNet	PREDICTIVE	ICM-086	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-057	NIR-ExcitationPeakNet	PREDICTIVE	ICM-087	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
CAND-P-058	NIR-DecayTimeNet	PREDICTIVE	ICM-088	PRIMARY_TARGET	PRE_REGISTERED_PLAN_ONLY	0
